contest_name,organizer,deadline,link,source_site
2026년 공주시 시정발전 아이디어 공모전,공주시,2026-06-07,https://sotong.go.kr/front/epilogue/epilogueNewViewPage.do?bbs_id=39636bfcb6214d5fb0876e1584a1cc63,위비티
2026년 밀양시 MY시민 크리에이터 모집,밀양시 / 다플기획,2026-06-07,https://www.miryang.go.kr/web/bbs/selectNoticeDetail.do?mnNo=20901000000&owd=&bbsId=BBSMSTR_000000086232&nttId=191507&searchCnd=&searchWrd=&pageIndex=1,위비티
[한국문화정보원] 문화PD 24기 모집,한국문화정보원,2026-06-07,https://www.kcisa.kr/kr/board/notice/boardView.do?bbsIdx=20497,위비티
[한국조폐공사] 2026 전국 대학생 공공데이터 활용 창업 경진대회,주최사 정보 미상,2026-06-07,https://www.komsco.com,링커리어
대전광역시 중구 2026 정책제안 공모전,대전광역시 중구,2026-06-07,https://blog.naver.com/djjunggu8/224283086937,위비티
무인양품 서포터즈 MUJI GOOD NEIGHBOR 1기 모집,무인양품,2026-06-07,https://yahoo.com,위비티
우리 농산물 소비촉진 대학생 서포터즈 greeNy 3기 모집,농협경제지주,2026-06-07,https://yahoo.com,위비티
2026 경기창작캠퍼스 공공갤러리 갤러리스트 공모(연장),주최사 정보 미상,2026-06-08,https://gcc.ggcf.kr/boards/supportProjects/articles/1532,링커리어
2026 관광 일자리 페스타 – 참가기업 모집,문화체육관광부 / 대전관광공사,2026-06-08,http://tourbiz.daejeonsejong.or.kr/kr/notice_view.php?no=722&parent_no=41,위비티
2026 관광 일자리 페스타 – 참가기업 모집,주최사 정보 미상,2026-06-08,https://djto.kr,링커리어
2026년 무역안보 인식확산 대국민 공모전,산업통상부,2026-06-08,https://www.kosti.or.kr/brd/board/222/L/menu/306?brdType=R&thisPage=1&bbsSn=11622&brdCodeValue=,위비티
조회수를 브랜드딜로 잇는 MCN 콘텐츠 전략 공모전,주최사 정보 미상,2026-06-08,https://www.blaybus.com/activities/875/landing,링커리어
2026 대단한 단편영화 제작지원 공모,KT&G 상상마당,2026-06-09,https://gsff.co.kr/59,위비티
2026 대단한 디자인 프로젝트 디자이너 공모,KT&G 상상마당,2026-06-09,https://gsff.co.kr/61,위비티
2026 여성특화 액셀러레이팅「스테이션 이화 배치」프로그램 참가기업 모집,하고 이화여자대학교기술지주가 운영하는 민간협력 여성벤처·스타트업 육성 프로그램,2026-06-09,https://holdings.ewha.ac.kr,링커리어
[대단한단편영화제] 2026 대단한 단편영화 제작지원 공모(5/1~6/9),KT&G 상상마당,2026-06-09,https://kinolights.com,씽굿
[제5회 환경교육주간] 기후행동1:100 참가자 모집,기후에너지환경부 / 한국환경보전,2026-06-09,https://docs.google.com/forms/d/e/1FAIpQLSdnF25JruNKiPvsX0BNB52MPxj0vq8MU7g7aIRLzjF5Kpt4RQ/viewform,위비티
건강보험심사평가원 건강한 하루 루틴 챌린지,건강보험심사평가원 이벤트 운영 사무국,2026-06-09,https://yahoo.com,위비티
제18회 대단한 단편영화제 작품 공모,KT&G 상상마당,2026-06-09,https://gsff.co.kr/50,위비티
2026 제2회 ICT콤플렉스 스타트업 투자상담회 참가 기업 모집,주최사 정보 미상,2026-06-10,https://www.ictcoc.kr/programs/application_view.asp?idx=164,링커리어
"2026년 제27회 박재삼문학제 - 청소년문학상, 시 백일장, 시 엽서 공모전",주최사 정보 미상,2026-06-10,https://naver.com,링커리어
2nd NAMUHX Hackathon,하는,2026-06-10,https://event-us.kr/m/125194/53841,링커리어
[bbb 코리아] 제34기 bbb 프로보노 청년 봉사단 모집,bbb코리아,2026-06-10,https://www.bbbkorea.org/ko/participation/probono/,위비티
[경북문화재단 콘텐츠진흥원] 경북 차세대 패션 콘텐츠 창작 공모전,주최사 정보 미상,2026-06-10,https://www.gfashion.kr/,링커리어
"[방송미디어통신위원회, 한국인터넷진흥원] 2026 LBS 스타트업 챌린지 (~6/10)","방송미디어통신위원회, 한국인터넷진흥원",2026-06-10,https://korealbs.or.kr,링커리어
경북 차세대 패션 콘텐츠 창작 공모전,경북문화재단 콘텐츠진흥원,2026-06-10,https://blog.naver.com/thinkcontest,씽굿
2026 인천스타트업파크 SNS 서포터즈 별이랑 3기 모집,인천자유경제구역청/인천스타트업파크,2026-06-11,https://yahoo.com,위비티
2027 함양방문의 해 함양관광 아이디어 공모전,함양군,2026-06-11,https://www.hygn.go.kr,위비티
2026 광주광역시 지역장애인보건의료센터 제1기 서포터즈 모집,광주광역시 지역장애인보건의료센터,2026-06-12,https://www.grhmc.co.kr/sub.html?pid=75&keyword=&formtype=view&page=1&code=416,위비티
2026년 경상남도 규제 개선과제 공모전,경상남도,2026-06-12,https://www.gyeongnam.go.kr/index.gyeong?menuCd=DOM_000000135003009001&mode=view&sno=54279&gosiGbn=A,위비티
2026년 국민생각함 정책 아이디어 공모전,국민권익위원회,2026-06-12,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2603-0000819,위비티
2026년 군포시 정기 제안 공모,군포시,2026-06-12,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2605-0001145,위비티
2026년 부천시 아동참여위원회 대학생 서포터즈 모집,부천시아동보호전문기관,2026-06-12,https://yahoo.com,위비티
2026년 청년문화예술패스 온라인 홍보 서포터스 모집,"문화체육관광부, 한국문화예술위원회",2026-06-12,https://youthculturepass.or.kr/kr/bbs/view.do?queryStrings=Y&bbsId=B0000060&menuSn=204988&pageIndex=1&pstSn=6815,위비티
2027년도 경남 사천시 고향사랑 기금사업 아이디어 제안 공모전,경상남도 사천시,2026-06-12,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2604-0001040,위비티
아산형 기본사회 정책 아이디어 공모전,아산시,2026-06-12,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2605-0000349,위비티
전주수목원 사진 공모전,],2026-06-12,https://exarboretum.gcontest.co.kr/template/m/32971,링커리어
제1회 세종특별자치시 AI 혁신 경진대회 (전국민 대상 AI 혁신 아이디어 공모전),세종특별자치시,2026-06-12,http://ai.sejong.go.kr/aicontest/,위비티
제24회 부여서동연꽃축제 「서동 나이트 퍼레이드」 음원 공모전 (AI음악 허용),주최사 정보 미상,2026-06-12,https://www.lemonsound.co/lemonation/24-r1mbuwca,링커리어
