contest_name,organizer,deadline,link,source_site
2026년 국민연금 대국민 영상 광고제,보건복지부,2026-05-08,https://www.mohw.go.kr/board.es?mid=a10501010100&bid=0003&act=view&list_no=1490079&tag&nPage=1,위비티
2026년 화성형 기본사회 정책 공모전,화성특례시,2026-05-08,https://www.hscity.go.kr/,위비티
2027년 담양군 고향사랑기금사업 공모,담양군,2026-05-08,https://blog.naver.com/damyanggun/224250949332,위비티
DB증권 2026 제12회 DB GAPS 투자대회,주최사 정보 미상,2026-05-08,http://www.dbgaps.com,링커리어
국토균형발전과 주거권 보장 아이디어 공모전,한국부동산원,2026-05-08,https://www.reb.or.kr/research/na/ntt/selectNttInfo.do?mi=9424&bbsId=1091&nttSn=113608,위비티
KOTRA X 스타트업 AX 오픈이노베이션 공모전,주최사 정보 미상,2026-05-10,https://www.kotra.or.kr/subList/41000022001?pmode=detail&nttSeq=29079,링커리어
[2026 상반기 공모전] KSEA 미래 서비스 공모전,한국서비스교육전문협회,2026-05-10,https://www.ksea.site/bbs/board.php?bo_table=notice≀_id=68,위비티
디지털 메타버스 외교관 15기 모집,"사이버외교사절단 반크, 대한민국 외교부",2026-05-10,http://prkorea.com/meta,위비티
제6기 그린리모델링 대학생기자단 모집,"국토교통부, 국토안전관리원 / 그린리모델링 창조센터",2026-05-10,https://06greenpress.kro.kr,위비티
제8회 밀크T 창작동화 공모전,"㈜천재교육, ㈜천재교과서 / 밀크T",2026-05-10,https://www.milkt.co.kr/Partner/Partner260309,위비티
"[국토교통부] 2026 AI로 그리는, 나만의 계절 채널아트 공모전",주최사 정보 미상,2026-05-11,https://docs.google.com/forms/d/e/1FAIpQLSeshiJ7LduGo4VxUQ3gQnz-_PyUoRNc7CC1BClRtu17VChmjw/viewform,링커리어
[중소벤처기업부]「AI+ OpenData 챌린지」 설명회 개최,중소벤처기업부,2026-05-11,https://forms.gle/GdjdNhsJK8sKhUSe7,씽굿
호국보훈의 달 계기 AI 콘텐츠 공모전,주최사 정보 미상,2026-05-11,https://docs.google.com/forms/d/e/1FAIpQLSeshiJ7LduGo4VxUQ3gQnz-_PyUoRNc7CC1BClRtu17VChmjw/viewform,링커리어
2026 LG전자 멤버십 앱 스플래시 콘텐츠 공모전,LG전자,2026-05-12,https://lg-custom-pages.travelflan.com/splash-2026-summer,위비티
2026 대한민국 대학생 광고대회 (KOSAC),주최사 정보 미상,2026-05-12,https://kosac.ad.co.kr/,링커리어
20주년 연극 <유츄프라카치아> 배우 모집,주최사 정보 미상,2026-05-12,https://otr.co.kr/audition/?vid=20771,링커리어
<나만의 롯데리아> UTme! 디자인 공모전,주최사 정보 미상,2026-05-12,https://www.instagram.com/lotteria_kr/p/DXt43L9iaUM/,링커리어
